subject,r0.2,r0.4,r0.6,r0.8,r1.0
sub-01,36.97,34.45,42.02,42.02,47.06
sub-02,38.66,45.38,43.70,52.94,48.74
sub-03,40.34,42.02,43.70,46.22,52.94
sub-04,29.41,30.25,39.50,42.86,43.70
sub-05,27.73,35.29,41.18,36.97,42.86
sub-06,46.22,42.02,61.34,67.23,68.07
sub-07,27.73,41.18,35.29,42.86,40.34
sub-08,38.66,36.97,44.54,44.54,42.02
sub-09,48.74,50.42,58.82,57.14,54.62
sub-10,57.14,68.91,73.11,73.95,73.95
sub-11,49.58,47.06,57.14,52.94,62.18
sub-12,47.90,45.38,53.78,53.78,55.46
sub-13,35.29,43.70,43.70,47.90,52.10
sub-14,33.61,35.29,46.22,34.45,43.70
sub-15,35.29,40.34,40.34,38.66,44.54
sub-16,41.18,39.50,53.78,56.30,52.10
sub-17,30.25,32.77,28.57,34.45,34.45
sub-18,35.29,47.06,48.74,54.62,59.66
sub-19,55.46,72.27,65.55,67.23,66.39
sub-20,37.82,31.93,42.86,44.54,43.70
sub-21,36.13,39.50,40.34,44.54,45.38
sub-22,49.58,47.06,60.50,59.66,60.50
sub-23,43.70,48.74,53.78,49.58,61.34
sub-24,44.54,42.02,47.90,48.74,53.78
sub-25,40.34,37.82,55.46,51.26,52.94
