subject,r0.2,r0.4,r0.6,r0.8,r1.0
sub-01,25.21,27.73,30.25,29.41,36.13
sub-02,49.58,56.30,63.03,64.71,62.18
sub-03,31.09,34.45,40.34,47.90,50.42
sub-04,42.02,45.38,54.62,53.78,55.46
sub-05,32.77,27.73,39.50,45.38,47.06
sub-06,40.34,52.10,59.66,63.87,63.87
sub-07,29.41,30.25,35.29,39.50,41.18
sub-08,31.93,53.78,64.71,66.39,68.91
sub-09,63.03,73.95,71.43,68.07,74.79
sub-10,61.34,70.59,78.99,84.87,86.55
sub-11,52.10,59.66,66.39,70.59,77.31
sub-12,52.10,47.90,56.30,73.11,74.79
sub-13,43.70,42.86,47.06,40.34,48.74
sub-14,26.05,28.57,42.02,49.58,60.50
sub-15,37.82,29.41,47.90,46.22,46.22
sub-16,30.25,29.41,47.06,42.86,57.98
sub-17,29.41,36.97,36.13,36.97,53.78
sub-18,37.82,31.93,45.38,66.39,68.07
sub-19,62.18,71.43,72.27,78.15,81.51
sub-20,38.66,33.61,41.18,47.90,46.22
sub-21,40.34,40.34,47.06,57.14,62.18
sub-22,37.82,44.54,67.23,65.55,69.75
sub-23,37.82,31.93,46.22,45.38,55.46
sub-24,40.34,37.82,52.94,49.58,52.94
sub-25,36.97,40.34,47.90,48.74,61.34
