feature,shift,ratio,comparison,n,mean_diff,ci_low,ci_high,t,p,cohen_dz,p_holm
Envelope,cross-day,0.2,S2-S1,25,10.817282665278501,7.7348767899916275,13.899688540565375,7.24297027610428,1.7500087582618497e-07,1.4485940552208558,8.750043791309248e-07
Envelope,day-plus-device,0.2,S2-S1,25,9.911504424778759,4.808302853021449,15.014705996536069,4.0085306132296115,0.0005156706963794871,0.8017061226459223,0.0015470120891384613
Mel-10,cross-day,0.2,S2-S1,25,11.320443221536403,8.281200309266374,14.35968613380643,7.687521911326848,6.341811647872976e-08,1.5375043822653696,3.805086988723786e-07
Mel-10,day-plus-device,0.2,S2-S1,25,11.36283185840708,6.297159804424211,16.42850391238995,4.629540183152711,0.00010652313192444467,0.9259080366305423,0.0004260925276977787
wav2vec 2.0,cross-day,0.2,S2-S1,25,3.4389826727151034,0.5969813598236007,6.280983985606606,2.4974342409641785,0.019766728363045508,0.49948684819283573,0.019766728363045508
wav2vec 2.0,day-plus-device,0.2,S2-S1,25,4.920353982300886,1.4355648445726783,8.405143120029095,2.9141251035326032,0.007603307045779468,0.5828250207065206,0.015206614091558936
