feature,shift,n,mean,sem,ci_low,ci_high,t,p,p_holm
Envelope,cross-day,25,35.805458466572475,1.3557395650037098,33.00734952841912,38.60356740472583,11.658181906441024,2.2679897487297448e-11,9.071958994918979e-11
Envelope,day-plus-device,25,37.80530973451327,1.7966418089734024,34.0972232892123,41.513396179814244,9.91032806070966,5.859299876899884e-10,1.757789963069965e-09
Mel-10,cross-day,25,38.861456086859526,1.4883102604581127,35.789734681043804,41.93317749267525,12.673067295157821,4.0055018488882334e-12,2.0027509244441168e-11
Mel-10,day-plus-device,25,40.495575221238944,2.150327151331736,36.05751810657569,44.933632335902196,9.531375357719718,1.2445021735671657e-09,1.757789963069965e-09
wav2vec 2.0,cross-day,25,44.41540864133264,1.4847832729817845,41.35096657989619,47.47985070276909,16.443752489412756,1.4442448627166003e-14,8.665469176299602e-14
wav2vec 2.0,day-plus-device,25,42.4778761061947,2.280371456057544,37.77142073805994,47.18433147432946,9.857111676470431,6.506036904333713e-10,1.757789963069965e-09
