subject,r0.2,r0.4,r0.6,r0.8,r1.0
sub-01,35.29,32.77,33.61,40.34,42.86
sub-02,48.74,47.90,52.10,53.78,57.14
sub-03,44.54,44.54,45.38,50.42,66.39
sub-04,27.73,25.21,46.22,37.82,52.10
sub-05,31.93,36.97,40.34,36.97,47.90
sub-06,42.02,47.06,63.03,65.55,70.59
sub-07,31.93,35.29,31.93,43.70,45.38
sub-08,42.02,47.06,52.10,50.42,51.26
sub-09,51.26,57.14,62.18,59.66,67.23
sub-10,60.50,66.39,74.79,76.47,80.67
sub-11,51.26,50.42,64.71,61.34,69.75
sub-12,43.70,47.06,49.58,54.62,60.50
sub-13,42.02,47.06,44.54,52.94,54.62
sub-14,29.41,31.09,42.02,41.18,53.78
sub-15,36.13,42.02,41.18,43.70,48.74
sub-16,46.22,42.02,51.26,57.98,57.14
sub-17,29.41,31.93,21.85,31.09,31.09
sub-18,32.77,30.25,46.22,54.62,57.98
sub-19,57.14,66.39,67.23,70.59,74.79
sub-20,30.25,36.97,44.54,46.22,41.18
sub-21,40.34,36.13,40.34,50.42,60.50
sub-22,50.42,50.42,68.07,60.50,68.07
sub-23,40.34,48.74,48.74,53.78,63.87
sub-24,44.54,42.86,48.74,51.26,57.14
sub-25,42.02,39.50,57.14,54.62,57.14
