subject,S1_r0.2,S1_r0.4,S1_r0.6,S1_r0.8,S1_r1.0,S2_r0.2,S2_r0.4,S2_r0.6,S2_r0.8,S2_r1.0,S3_r0.2,S3_r0.4,S3_r0.6,S3_r0.8,S3_r1.0,S4_r0.2,S4_r0.4,S4_r0.6,S4_r0.8,S4_r1.0,S5_r1.0
sub-01,42.48,42.48,42.48,42.48,42.48,53.98,51.33,59.29,58.41,67.26,35.40,38.94,46.02,53.98,58.41,41.59,38.05,50.44,53.10,51.33,59.29
sub-02,48.67,48.67,48.67,48.67,48.67,53.10,51.33,56.64,53.98,60.18,43.36,46.90,46.02,51.33,59.29,45.13,47.79,53.10,52.21,55.75,64.60
sub-03,34.51,34.51,34.51,34.51,34.51,48.67,49.56,51.33,55.75,59.29,41.59,40.71,43.36,50.44,51.33,30.97,36.28,35.40,32.74,33.63,48.67
sub-04,33.63,33.63,33.63,33.63,33.63,42.48,39.82,40.71,37.17,41.59,30.09,38.94,32.74,36.28,40.71,34.51,39.82,42.48,40.71,37.17,47.79
sub-05,42.48,42.48,42.48,42.48,42.48,44.25,56.64,56.64,61.95,59.29,44.25,51.33,54.87,58.41,58.41,41.59,45.13,55.75,50.44,41.59,53.98
sub-06,39.82,39.82,39.82,39.82,39.82,59.29,62.83,66.37,64.60,72.57,38.05,39.82,57.52,60.18,62.83,46.90,51.33,53.98,57.52,64.60,68.14
sub-07,31.86,31.86,31.86,31.86,31.86,47.79,48.67,61.06,53.10,61.95,37.17,43.36,36.28,48.67,54.87,28.32,36.28,35.40,38.94,43.36,65.49
sub-08,34.51,34.51,34.51,34.51,34.51,45.13,64.60,56.64,55.75,54.87,39.82,44.25,44.25,52.21,53.10,30.09,36.28,42.48,44.25,38.94,58.41
sub-09,51.33,51.33,51.33,51.33,51.33,55.75,67.26,67.26,64.60,64.60,56.64,60.18,56.64,60.18,62.83,47.79,46.02,46.90,47.79,45.13,58.41
sub-10,47.79,47.79,47.79,47.79,47.79,52.21,52.21,64.60,66.37,64.60,41.59,47.79,48.67,52.21,56.64,43.36,45.13,43.36,44.25,44.25,60.18
sub-11,53.98,53.98,53.98,53.98,53.98,59.29,58.41,67.26,59.29,63.72,46.90,50.44,55.75,58.41,57.52,42.48,39.82,44.25,49.56,50.44,65.49
sub-12,47.79,47.79,47.79,47.79,47.79,45.13,55.75,59.29,61.06,65.49,38.94,46.90,53.98,49.56,54.87,38.94,42.48,44.25,42.48,44.25,59.29
sub-13,52.21,52.21,52.21,52.21,52.21,55.75,57.52,70.80,66.37,65.49,49.56,55.75,58.41,61.95,62.83,58.41,58.41,58.41,60.18,70.80,66.37
sub-14,22.12,22.12,22.12,22.12,22.12,23.89,26.55,36.28,25.66,46.90,23.01,21.24,15.93,17.70,42.48,24.78,30.09,26.55,30.09,23.89,41.59
sub-15,30.09,30.09,30.09,30.09,30.09,43.36,46.90,47.79,49.56,53.98,38.05,29.20,33.63,38.94,31.86,26.55,25.66,26.55,31.86,26.55,51.33
sub-16,35.40,35.40,35.40,35.40,35.40,51.33,47.79,52.21,55.75,61.06,46.90,53.10,57.52,61.95,67.26,44.25,52.21,51.33,54.87,52.21,60.18
sub-17,23.01,23.01,23.01,23.01,23.01,27.43,29.20,30.09,31.86,38.94,21.24,27.43,26.55,31.86,31.86,25.66,29.20,23.01,23.89,17.70,37.17
sub-18,34.51,34.51,34.51,34.51,34.51,55.75,55.75,58.41,62.83,67.26,30.09,38.05,38.94,44.25,46.02,31.86,33.63,36.28,35.40,37.17,63.72
sub-19,39.82,39.82,39.82,39.82,39.82,70.80,73.45,71.68,72.57,79.65,60.18,78.76,79.65,78.76,79.65,60.18,69.91,68.14,69.91,66.37,79.65
sub-20,33.63,33.63,33.63,33.63,33.63,43.36,47.79,54.87,47.79,56.64,41.59,46.90,49.56,50.44,50.44,50.44,53.98,50.44,61.06,53.10,60.18
sub-21,28.32,28.32,28.32,28.32,28.32,32.74,38.05,35.40,43.36,43.36,23.89,27.43,34.51,28.32,35.40,23.01,27.43,26.55,33.63,30.97,38.94
sub-22,56.64,56.64,56.64,56.64,56.64,65.49,63.72,61.06,69.03,74.34,46.90,45.13,60.18,69.03,66.37,46.90,53.10,56.64,57.52,61.95,65.49
sub-23,46.02,46.02,46.02,46.02,46.02,57.52,61.06,61.95,66.37,65.49,44.25,53.98,62.83,67.26,69.03,42.48,58.41,61.06,57.52,54.87,66.37
sub-24,32.74,32.74,32.74,32.74,32.74,61.95,51.33,55.75,60.18,62.83,44.25,48.67,56.64,60.18,61.95,33.63,43.36,43.36,42.48,39.82,53.98
sub-25,44.25,44.25,44.25,44.25,44.25,67.26,65.49,66.37,70.80,72.57,46.90,56.64,64.60,63.72,65.49,41.59,48.67,44.25,52.21,45.13,69.91
