feature,n,day2_mean,day3_mean,delta_mean,ci_low,ci_high,t,p,cohen_dz,missing_subjects,p_holm
Envelope,25,36.874,37.804399999999994,-0.9303999999999992,-5.687212864146918,3.82641286414692,-0.4036844157170946,0.6900191262806863,-0.08073688314341894,,1.0
Mel-10,25,40.211600000000004,40.4952,-0.2835999999999996,-5.493807834460658,4.9266078344606585,-0.11234132124372277,0.9114871331758758,-0.02246826424874455,,1.0
wav2vec 2.0,25,46.2856,42.47839999999999,3.8072000000000004,-1.3353311228848903,8.949731122884891,1.5279780357308077,0.13959142073018052,0.3055956071461616,,0.4187742621905416
