feature,shift,ratio,comparison,n,mean_diff,ci_low,ci_high,t,p,cohen_dz,p_holm
Envelope,cross-day,0.2,S2-S1,25,10.818000000000001,7.735591681915626,13.900408318084377,7.243444844311752,1.7480894707896256e-07,1.4486889688623505,8.740447353948128e-07
Envelope,day-plus-device,0.2,S2-S1,25,9.912399999999998,4.808699304165955,15.01610069583404,4.008500756907793,0.0005157096095531276,0.8017001513815586,0.001547128828659383
Mel-10,cross-day,0.2,S2-S1,25,11.320599999999999,8.28077784546785,14.360422154532149,7.686163488851255,6.361260481898488e-08,1.5372326977702508,3.8167562891390925e-07
Mel-10,day-plus-device,0.2,S2-S1,25,11.363600000000002,6.29711536066327,16.430084639336734,4.629110589386199,0.00010663961254539413,0.9258221178772399,0.00042655845018157654
wav2vec 2.0,cross-day,0.2,S2-S1,25,3.4390000000000005,0.5970685121097121,6.280931487890289,2.4975081854305317,0.019763476255914215,0.49950163708610634,0.019763476255914215
wav2vec 2.0,day-plus-device,0.2,S2-S1,25,4.919600000000002,1.4345030074096394,8.404696992590363,2.9134211717414487,0.007615916749146714,0.5826842343482899,0.015231833498293428
