feature,shift,target_mean,target_sem,zero_mean,zero_sem,n,mean_diff,ci_low,ci_high,t,p,cohen_dz,p_holm
Envelope,cross-day,53.7144,1.6697929342685978,35.805,1.3558098748226708,25,17.9094,15.177829843036847,20.640970156963157,13.531845340086381,9.999829786056432e-13,2.7063690680172763,5.999897871633859e-12
Envelope,day-plus-device,54.08879999999999,3.363833444152667,37.804399999999994,1.7965350056891924,25,16.2844,10.502724212284548,22.066075787715455,5.813081011630989,5.404713357497243e-06,1.162616202326198,5.404713357497243e-06
Mel-10,cross-day,56.95099999999999,2.062509878764221,38.8612,1.4883550282106752,25,18.0898,15.243848366565377,20.935751633434624,13.118814726686123,1.9322991807302582e-12,2.623762945337225,9.661495903651291e-12
Mel-10,day-plus-device,57.3456,3.6775357727695868,40.4952,2.150397414432969,25,16.850399999999997,11.204857774332446,22.495942225667548,6.160172917446308,2.301081467277496e-06,1.2320345834892616,4.602162934554992e-06
wav2vec 2.0,cross-day,56.580200000000005,2.225109182339899,44.415200000000006,1.4849697943055946,25,12.165000000000003,9.006137793056556,15.32386220694345,7.948218173941509,3.5397374668485505e-08,1.5896436347883018,1.4158949867394202e-07
wav2vec 2.0,day-plus-device,58.4072,3.6505549587243125,42.47839999999999,2.2803173521829514,25,15.928799999999999,11.222456200230969,20.63514379976903,6.985343359334229,3.188626155007962e-07,1.397068671866846,9.565878465023886e-07
