feature,shift,n,mean,sem,ci_low,ci_high,t,p,p_holm
Envelope,cross-day,25,35.805,1.3558098748226708,33.00674594951242,38.60325405048758,11.657239184857808,2.2717590468806203e-11,9.087036187522481e-11
Envelope,day-plus-device,25,37.804399999999994,1.7965350056891924,34.09653398584368,41.51226601415631,9.910410842882415,5.858347257034309e-10,1.7575041771102927e-09
Mel-10,cross-day,25,38.8612,1.4883550282106752,35.78938619808415,41.93301380191584,12.67251404570806,4.009175465776426e-12,2.0045877328882132e-11
Mel-10,day-plus-device,25,40.4952,2.150397414432969,36.05699786942318,44.933402130576816,9.530889435804268,1.2457193183397397e-09,1.7575041771102927e-09
wav2vec 2.0,cross-day,25,44.415200000000006,1.4849697943055946,41.35037297747163,47.48002702252838,16.44154655106443,1.4485367990439344e-14,8.691220794263607e-14
wav2vec 2.0,day-plus-device,25,42.47839999999999,2.2803173521829514,37.77205629677418,47.184743703225806,9.85757529691268,6.500095265394164e-10,1.7575041771102927e-09
