feature,transfer,sparse_s2_s1,sparse_s2_s3,full_s2_s3
Envelope,day1_to_day2,11.752212389380531,6.371681415929204,1.6991150442477858
Envelope,day2_to_day1,9.88235294117647,4.369747899159664,1.0084033613445387
Envelope,neurascan_to_brk,9.911504424778759,5.557522123893802,0.8495575221238926
Mel-10,day1_to_day2,11.04424778761062,10.123893805309732,5.699115044247788
Mel-10,day2_to_day1,11.596638655462185,8.201680672268907,4.369747899159666
Mel-10,neurascan_to_brk,11.36283185840708,8.70796460176991,2.902654867256635
wav2vec 2.0,day1_to_day2,3.079646017699115,8.318584070796462,4.70796460176991
wav2vec 2.0,day2_to_day1,3.7983193277310905,10.823529411764705,2.8235294117647047
wav2vec 2.0,neurascan_to_brk,4.920353982300886,6.796460176991152,0.5309734513274343
