feature,n,day2_mean,day3_mean,delta_mean,ci_low,ci_high,t,p,cohen_dz,missing_subjects,p_holm
Envelope,25,36.87380699893956,37.80530973451327,-0.9315027355737194,-5.6885559848887866,3.825550513741348,-0.404142450240593,0.6896868206429326,-0.08082849004811861,,1.0
Mel-10,25,40.212089077412514,40.495575221238944,-0.2834861438264235,-5.493558352871381,4.926586065218534,-0.11229914308463686,0.9115202197802085,-0.02245982861692737,,1.0
wav2vec 2.0,25,46.28632025450689,42.4778761061947,3.8084441483122022,-1.3345967253209388,8.951485021945343,1.5283258665198172,0.1395053791698397,0.3056651733039634,,0.4185161375095191
