feature,subject,day2_accuracy,day3_accuracy,delta,day2_source,day2_column,day3_source,day3_column
Mel-10,sub-09,53.02226935312832,38.05309734513274,14.969172007995581,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-10,42.84199363732768,65.48672566371681,-22.64473202638913,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-11,51.00742311770944,30.08849557522124,20.918927542488202,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-12,41.78154825026511,38.93805309734513,2.843495152919978,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-13,53.23435843054083,33.6283185840708,19.606039846470033,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-14,32.13149522799576,47.78761061946903,-15.656115391473271,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-15,30.54082714740191,37.16814159292036,-6.627314445518447,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-16,36.691410392364794,46.017699115044245,-9.32628872267945,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-17,24.390243902439025,28.31858407079646,-3.928340168357437,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-18,31.60127253446447,33.6283185840708,-2.0270460496063265,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
Mel-10,sub-19,47.61399787910923,53.98230088495575,-6.368303005846521,module_A_intra_domain/mel_10/neurascan.csv,r1.0,module_B_sda/mel_10/neurascan_to_brk.csv,S1_r1.0
