feature,shift,target_mean,target_sem,zero_mean,zero_sem,n,mean_diff,ci_low,ci_high,t,p,cohen_dz,p_holm
Envelope,cross-day,53.714136982226506,1.669886549605166,35.805458466572475,1.3557395650037098,25,17.908678515654046,15.17709358917805,20.640263442130042,13.531227043634747,1.0009578307136624e-12,2.7062454087269496,6.005746984281975e-12
Envelope,day-plus-device,54.08849557522124,3.3637322191680235,37.80530973451327,1.7966418089734024,25,16.283185840707965,10.501642765882025,22.064728915533905,5.8127810171803835,5.408731236494696e-06,1.1625562034360768,5.408731236494696e-06
Mel-10,cross-day,56.950992786495135,2.0623838400403196,38.861456086859526,1.4883102604581127,25,18.08953669963561,15.243882473519715,20.935190925751503,13.119994844157398,1.9286221821599796e-12,2.6239989688314798,9.643110910799897e-12
Mel-10,day-plus-device,57.34513274336284,3.677272458347474,40.495575221238944,2.150327151331736,25,16.849557522123895,11.204765200953116,22.494349843294675,6.1606832555298165,2.2982151582867994e-06,1.2321366511059633,4.596430316573599e-06
wav2vec 2.0,cross-day,56.58050122703949,2.2250587312681667,44.41540864133264,1.4847832729817845,25,12.165092585706848,9.006427353444781,15.323757817968914,7.948774321909197,3.535371049909335e-08,1.5897548643818393,1.414148419963734e-07
wav2vec 2.0,day-plus-device,58.4070796460177,3.6505542130034763,42.4778761061947,2.280371456057544,25,15.929203539823009,11.222748171688249,20.63565890795777,6.985354731356997,3.188541115884344e-07,1.3970709462713993,9.565623347653032e-07
