subject,S1_r0.2,S1_r0.4,S1_r0.6,S1_r0.8,S1_r1.0,S2_r0.2,S2_r0.4,S2_r0.6,S2_r0.8,S2_r1.0,S3_r0.2,S3_r0.4,S3_r0.6,S3_r0.8,S3_r1.0,S4_r0.2,S4_r0.4,S4_r0.6,S4_r0.8,S4_r1.0,S5_r1.0
sub-01,36.13,36.13,36.13,36.13,36.13,33.61,36.97,45.38,47.90,48.74,23.53,26.05,35.29,36.97,43.70,34.45,32.77,42.86,40.34,37.82,37.82
sub-02,47.06,47.06,47.06,47.06,47.06,60.50,59.66,64.71,63.87,70.59,47.90,50.42,64.71,70.59,58.82,47.06,53.78,56.30,59.66,57.98,75.63
sub-03,35.29,35.29,35.29,35.29,35.29,35.29,36.13,36.13,44.54,42.86,30.25,40.34,33.61,43.70,42.86,31.09,40.34,42.86,45.38,44.54,43.70
sub-04,44.54,44.54,44.54,44.54,44.54,39.50,48.74,51.26,52.10,52.10,40.34,52.10,55.46,53.78,55.46,43.70,52.10,54.62,52.94,49.58,62.18
sub-05,36.97,36.97,36.97,36.97,36.97,37.82,42.02,54.62,56.30,53.78,29.41,26.89,40.34,42.02,42.86,32.77,35.29,43.70,38.66,40.34,52.94
sub-06,57.98,57.98,57.98,57.98,57.98,57.14,59.66,60.50,66.39,66.39,44.54,51.26,57.98,61.34,58.82,57.14,57.14,53.78,57.14,57.14,70.59
sub-07,36.97,36.97,36.97,36.97,36.97,31.93,33.61,35.29,40.34,37.82,21.85,28.57,34.45,36.13,41.18,37.82,38.66,36.97,43.70,42.02,41.18
sub-08,53.78,53.78,53.78,53.78,53.78,59.66,59.66,69.75,66.39,70.59,31.09,42.86,61.34,65.55,71.43,40.34,52.94,50.42,57.98,57.98,68.07
sub-09,49.58,49.58,49.58,49.58,49.58,63.87,57.14,70.59,69.75,68.07,68.07,71.43,66.39,72.27,75.63,68.07,58.82,67.23,64.71,63.87,72.27
sub-10,67.23,67.23,67.23,67.23,67.23,70.59,78.15,86.55,79.83,81.51,60.50,62.18,79.83,75.63,82.35,61.34,74.79,67.23,69.75,73.11,84.03
sub-11,42.02,42.02,42.02,42.02,42.02,52.94,52.94,66.39,69.75,76.47,51.26,64.71,65.55,77.31,79.83,56.30,69.75,65.55,67.23,71.43,84.03
sub-12,63.87,63.87,63.87,63.87,63.87,57.14,57.98,61.34,75.63,74.79,56.30,55.46,55.46,63.87,68.91,57.14,61.34,63.87,63.87,69.75,76.47
sub-13,41.18,41.18,41.18,41.18,41.18,47.06,39.50,48.74,49.58,54.62,38.66,45.38,42.02,44.54,48.74,44.54,52.94,50.42,54.62,53.78,47.90
sub-14,47.06,47.06,47.06,47.06,47.06,42.02,36.97,45.38,51.26,52.94,20.17,31.09,45.38,52.94,54.62,52.10,42.86,54.62,52.94,55.46,60.50
sub-15,45.38,45.38,45.38,45.38,45.38,41.18,36.97,47.06,47.06,47.06,42.86,36.13,39.50,41.18,46.22,43.70,42.02,46.22,40.34,45.38,45.38
sub-16,38.66,38.66,38.66,38.66,38.66,48.74,50.42,56.30,58.82,57.14,37.82,36.13,42.02,51.26,57.98,43.70,39.50,50.42,52.10,45.38,64.71
sub-17,41.18,41.18,41.18,41.18,41.18,40.34,26.05,35.29,41.18,44.54,27.73,28.57,32.77,33.61,44.54,36.97,33.61,37.82,40.34,46.22,46.22
sub-18,27.73,27.73,27.73,27.73,27.73,56.30,59.66,64.71,73.11,70.59,31.09,31.09,47.90,52.94,64.71,36.97,41.18,53.78,54.62,46.22,73.95
sub-19,64.71,64.71,64.71,64.71,64.71,71.43,76.47,74.79,84.03,88.24,62.18,67.23,78.15,83.19,85.71,71.43,74.79,76.47,78.99,79.83,91.60
sub-20,44.54,44.54,44.54,44.54,44.54,54.62,48.74,57.98,51.26,53.78,35.29,43.70,38.66,49.58,50.42,43.70,38.66,43.70,45.38,50.42,61.34
sub-21,47.90,47.90,47.90,47.90,47.90,47.06,49.58,50.42,56.30,57.14,32.77,44.54,49.58,55.46,52.94,38.66,37.82,42.86,54.62,47.06,55.46
sub-22,41.18,41.18,41.18,41.18,41.18,64.71,64.71,74.79,71.43,69.75,41.18,43.70,61.34,67.23,70.59,50.42,62.18,60.50,60.50,61.34,74.79
sub-23,51.26,51.26,51.26,51.26,51.26,47.90,59.66,46.22,62.18,64.71,36.97,38.66,40.34,46.22,49.58,52.10,52.10,55.46,47.90,54.62,62.18
sub-24,51.26,51.26,51.26,51.26,51.26,48.74,54.62,51.26,57.98,63.03,36.13,43.70,50.42,52.10,57.98,48.74,43.70,47.90,50.42,48.74,58.82
sub-25,45.38,45.38,45.38,45.38,45.38,43.70,47.90,49.58,57.98,59.66,35.29,40.34,39.50,47.06,50.42,45.38,53.78,52.10,55.46,54.62,64.71
